熟語,意味,ジャンル
一右,意味なし,none
一雨,意味なし,none
一円,いちえん,number
一王,意味なし,none
一音,意味なし,none
一下,いっか/一度に,general
一火,意味なし,none
一花,意味なし,none
一貝,意味なし,none
一学,意味なし,none
一気,いっき,general
一九,意味なし,none
一休,ひとやすみ,general
一玉,意味なし,none
一金,意味なし,none
一空,意味なし,none
一月,いちがつ,number
一犬,意味なし,none
一見,いっけん,general
一五,意味なし,none
一口,ひとくち,number
一校,意味なし,none
一左,意味なし,none
一三,意味なし,none
一山,ひとやま,general
一子,意味なし,none
一四,意味なし,none
一糸,意味なし,none
一字,意味なし,none
一耳,意味なし,none
一七,意味なし,none
一車,意味なし,none
一手,ひとて,number
一十,意味なし,none
一出,意味なし,none
一女,意味なし,none
一小,意味なし,none
一上,意味なし,none
一森,意味なし,none
一人,ひとり,number
一水,意味なし,none
一正,意味なし,none
一生,いっしょう,number
一青,意味なし,none
一夕,意味なし,none
一石,いっせき,general
一赤,意味なし,none
一千,いっせん,number
一川,意味なし,none
一先,意味なし,none
一早,意味なし,none
一草,意味なし,none
一足,意味なし,none
一村,いっそん,general
一大,いちだい,general
一男,意味なし,none
一竹,意味なし,none
一中,いっちゅう,general
一虫,意味なし,none
一町,意味なし,none
一天,いってん,general
一田,意味なし,none
一土,意味なし,none
一二,いちに,number
一日,ついたち・いちにち,number
一入,ひとしお,general
一年,いちねん,number
一白,いっぱく,general
一八,いっぱち,number
一百,いっぴゃく,number
一文,いちもん,number
一木,意味なし,none
一本,いっぽん,number
一名,いちめい,number
一目,ひとめ,number
一立,いちりつ,general
一力,いちりき,general
一林,意味なし,none
一六,いちろく,number
右一,意味なし,none
右雨,意味なし,none
右円,意味なし,none
右王,意味なし,none
右音,意味なし,none
右下,意味なし,none
右火,意味なし,none
右花,意味なし,none
右貝,意味なし,none
右学,意味なし,none
右気,意味なし,none
右九,意味なし,none
右休,意味なし,none
右玉,意味なし,none
右金,意味なし,none
右空,意味なし,none
右月,意味なし,none
右犬,意味なし,none
右見,意味なし,none
右五,意味なし,none
右口,意味なし,none
右校,意味なし,none
右左,みぎひだり,general
右三,意味なし,none
右山,みぎやま,general
右子,意味なし,none
右四,意味なし,none
右糸,意味なし,none
右字,意味なし,none
右耳,みぎみみ,general
右七,意味なし,none
右車,意味なし,none
右手,みぎて,general
右十,意味なし,none
右出,意味なし,none
右女,意味なし,none
右小,意味なし,none
右上,意味なし,none
右森,意味なし,none
右人,意味なし,none
右水,意味なし,none
右正,意味なし,none
右生,意味なし,none
右青,意味なし,none
右夕,意味なし,none
右石,意味なし,none
右赤,意味なし,none
右千,意味なし,none
右川,意味なし,none
右先,意味なし,none
右早,意味なし,none
右草,意味なし,none
右足,みぎあし,general
右村,意味なし,none
右大,意味なし,none
右男,意味なし,none
右竹,意味なし,none
右中,意味なし,none
右虫,意味なし,none
右町,意味なし,none
右天,意味なし,none
右田,意味なし,none
右土,意味なし,none
右二,意味なし,none
右日,意味なし,none
右入,意味なし,none
右年,意味なし,none
右白,意味なし,none
右八,意味なし,none
右百,意味なし,none
右文,意味なし,none
右木,意味なし,none
右本,意味なし,none
右名,意味なし,none
右目,みぎめ,general
右立,意味なし,none
右力,意味なし,none
右林,意味なし,none
右六,意味なし,none
雨一,意味なし,none
雨右,意味なし,none
雨円,意味なし,none
雨王,意味なし,none
雨音,あまおと,general
雨下,うか,general
雨火,意味なし,none
雨花,うか,general
雨貝,意味なし,none
雨学,意味なし,none
雨気,意味なし,none
雨九,意味なし,none
雨休,意味なし,none
雨玉,意味なし,none
雨金,意味なし,none
雨空,あまぞら,general
雨月,意味なし,none
雨犬,意味なし,none
雨見,意味なし,none
雨五,意味なし,none
雨口,意味なし,none
雨校,意味なし,none
雨左,意味なし,none
雨三,意味なし,none
雨山,意味なし,none
雨子,意味なし,none
雨四,意味なし,none
雨糸,意味なし,none
雨字,意味なし,none
雨耳,意味なし,none
雨七,意味なし,none
雨車,意味なし,none
雨手,意味なし,none
雨十,意味なし,none
雨出,意味なし,none
雨女,意味なし,none
雨小,意味なし,none
雨上,あまあがり,general
雨森,意味なし,none
雨人,意味なし,none
雨水,あまみず,general
雨正,意味なし,none
雨生,意味なし,none
雨青,意味なし,none
雨夕,意味なし,none
雨石,意味なし,none
雨赤,意味なし,none
雨千,意味なし,none
雨川,意味なし,none
雨先,意味なし,none
雨早,意味なし,none
雨草,意味なし,none
雨足,あまあし,general
雨村,意味なし,none
雨大,意味なし,none
雨男,意味なし,none
雨竹,意味なし,none
雨中,うちゅう,general
雨虫,意味なし,none
雨町,意味なし,none
雨天,うてん,general
雨田,意味なし,none
雨土,意味なし,none
雨二,意味なし,none
雨日,意味なし,none
雨入,意味なし,none
雨年,意味なし,none
雨白,意味なし,none
雨八,意味なし,none
雨百,意味なし,none
雨文,意味なし,none
雨木,意味なし,none
雨本,意味なし,none
雨名,意味なし,none
雨目,意味なし,none
雨立,意味なし,none
雨力,意味なし,none
雨林,意味なし,none
雨六,意味なし,none
円一,意味なし,none
円右,意味なし,none
円雨,意味なし,none
円王,意味なし,none
円音,意味なし,none
円下,意味なし,none
円火,意味なし,none
円花,意味なし,none
円貝,意味なし,none
円学,意味なし,none
円気,意味なし,none
円九,意味なし,none
円休,意味なし,none
円玉,えんだま,general
円金,意味なし,none
円空,意味なし,none
円月,意味なし,none
円犬,意味なし,none
円見,意味なし,none
円五,意味なし,none
円口,意味なし,none
円校,意味なし,none
円左,意味なし,none
円三,意味なし,none
円山,まるやま,surname
円子,意味なし,none
円四,意味なし,none
円糸,意味なし,none
円字,意味なし,none
円耳,意味なし,none
円七,意味なし,none
円車,意味なし,none
円手,意味なし,none
円十,意味なし,none
円出,意味なし,none
円女,意味なし,none
円小,意味なし,none
円上,意味なし,none
円森,意味なし,none
円人,意味なし,none
円水,意味なし,none
円正,意味なし,none
円生,意味なし,none
円青,意味なし,none
円夕,意味なし,none
円石,意味なし,none
円赤,意味なし,none
円千,意味なし,none
円川,意味なし,none
円先,意味なし,none
円早,意味なし,none
円草,意味なし,none
円足,意味なし,none
円村,意味なし,none
円大,意味なし,none
円男,意味なし,none
円竹,意味なし,none
円中,意味なし,none
円虫,意味なし,none
円町,意味なし,none
円天,意味なし,none
円田,意味なし,none
円土,意味なし,none
円二,意味なし,none
円日,意味なし,none
円入,意味なし,none
円年,意味なし,none
円白,意味なし,none
円八,意味なし,none
円百,意味なし,none
円文,意味なし,none
円木,意味なし,none
円本,意味なし,none
円名,意味なし,none
円目,意味なし,none
円立,意味なし,none
円力,意味なし,none
円林,意味なし,none
円六,意味なし,none
王一,意味なし,none
王右,意味なし,none
王雨,意味なし,none
王円,意味なし,none
王音,意味なし,none
王下,意味なし,none
王火,意味なし,none
王花,意味なし,none
王貝,意味なし,none
王学,意味なし,none
王気,意味なし,none
王九,意味なし,none
王休,意味なし,none
王玉,意味なし,none
王金,おうごん,general
王空,意味なし,none
王月,意味なし,none
王犬,意味なし,none
王見,意味なし,none
王五,意味なし,none
王口,意味なし,none
王校,意味なし,none
王左,意味なし,none
王三,意味なし,none
王山,意味なし,none
王子,おうじ,general
王四,意味なし,none
王糸,意味なし,none
王字,意味なし,none
王耳,意味なし,none
王七,意味なし,none
王車,意味なし,none
王手,おうて/将棋,general
王十,意味なし,none
王出,意味なし,none
王女,おうじょ,general
王小,意味なし,none
王上,意味なし,none
王森,意味なし,none
王人,意味なし,none
王水,意味なし,none
王正,意味なし,none
王生,意味なし,none
王青,意味なし,none
王夕,意味なし,none
王石,意味なし,none
王赤,意味なし,none
王千,意味なし,none
王川,意味なし,none
王先,意味なし,none
王早,意味なし,none
王草,意味なし,none
王足,意味なし,none
王村,意味なし,none
王大,意味なし,none
王男,意味なし,none
王竹,意味なし,none
王中,意味なし,none
王虫,意味なし,none
王町,意味なし,none
王天,意味なし,none
王田,意味なし,none
王土,意味なし,none
王二,意味なし,none
王日,意味なし,none
王入,意味なし,none
王年,意味なし,none
王白,意味なし,none
王八,意味なし,none
王百,意味なし,none
王文,意味なし,none
王木,意味なし,none
王本,意味なし,none
王名,意味なし,none
王目,意味なし,none
王立,おうりつ,general
王力,意味なし,none
王林,意味なし,none
王六,意味なし,none
音一,意味なし,none
音右,意味なし,none
音雨,意味なし,none
音円,意味なし,none
音王,意味なし,none
音下,意味なし,none
音火,おんか,general
音花,意味なし,none
音貝,意味なし,none
音学,意味なし,none
音気,意味なし,none
音九,意味なし,none
音休,意味なし,none
音玉,意味なし,none
音金,おんきん,general
音空,意味なし,none
音月,意味なし,none
音犬,意味なし,none
音見,意味なし,none
音五,意味なし,none
音口,意味なし,none
音校,意味なし,none
音左,意味なし,none
音三,意味なし,none
音山,おとやま,surname
音子,意味なし,none
音四,意味なし,none
音糸,意味なし,none
音字,意味なし,none
音耳,意味なし,none
音七,意味なし,none
音車,意味なし,none
音手,意味なし,none
音十,意味なし,none
音出,意味なし,none
音女,意味なし,none
音小,意味なし,none
音上,意味なし,none
音森,意味なし,none
音人,意味なし,none
音水,おんすい,general
音正,意味なし,none
音生,意味なし,none
音青,意味なし,none
音夕,意味なし,none
音石,意味なし,none
音赤,意味なし,none
音千,意味なし,none
音川,おとかわ,surname
音先,意味なし,none
音早,意味なし,none
音草,意味なし,none
音足,意味なし,none
音村,意味なし,none
音大,おんだい/音楽大学,general
音男,意味なし,none
音竹,意味なし,none
音中,意味なし,none
音虫,意味なし,none
音町,意味なし,none
音天,意味なし,none
音田,おとだ,surname
音土,意味なし,none
音二,意味なし,none
音日,意味なし,none
音入,意味なし,none
音年,意味なし,none
音白,意味なし,none
音八,意味なし,none
音百,意味なし,none
音文,意味なし,none
音木,意味なし,none
音本,意味なし,none
音名,意味なし,none
音目,意味なし,none
音立,意味なし,none
音力,意味なし,none
音林,意味なし,none
音六,意味なし,none
下一,意味なし,none
下右,意味なし,none
下雨,意味なし,none
下円,意味なし,none
下王,意味なし,none
下音,意味なし,none
下火,したび,general
下花,意味なし,none
下貝,意味なし,none
下学,かがく,general
下気,意味なし,none
下九,意味なし,none
下休,意味なし,none
下玉,意味なし,none
下金,したがね,general
下空,意味なし,none
下月,意味なし,none
下犬,意味なし,none
下見,意味なし,none
下五,意味なし,none
下口,意味なし,none
下校,げこう,general
下左,意味なし,none
下三,意味なし,none
下山,げざん,general
下子,意味なし,none
下四,意味なし,none
下糸,意味なし,none
下字,意味なし,none
下耳,意味なし,none
下七,意味なし,none
下車,げしゃ,general
下手,へた・したて,general
下十,意味なし,none
下出,かしゅつ,general
下女,げじょ,general
下小,意味なし,none
下上,意味なし,none
下森,意味なし,none
下人,げにん,general
下水,げすい,general
下正,意味なし,none
下生,意味なし,none
下青,意味なし,none
下夕,意味なし,none
下石,意味なし,none
下赤,意味なし,none
下千,意味なし,none
下川,意味なし,none
下先,意味なし,none
下早,意味なし,none
下草,意味なし,none
下足,げそく/くつ,general
下村,意味なし,none
下大,意味なし,none
下男,げなん,general
下竹,意味なし,none
下中,かちゅう,general
下虫,意味なし,none
下町,したまち,general
下天,意味なし,none
下田,しもだ,surname
下土,意味なし,none
下二,意味なし,none
下日,意味なし,none
下入,意味なし,none
下年,意味なし,none
下白,意味なし,none
下八,意味なし,none
下百,意味なし,none
下文,意味なし,none
下木,意味なし,none
下本,意味なし,none
下名,意味なし,none
下目,しため,general
下立,意味なし,none
下力,意味なし,none
下林,意味なし,none
下六,意味なし,none
火一,意味なし,none
火右,意味なし,none
火雨,意味なし,none
火円,意味なし,none
火王,意味なし,none
火音,意味なし,none
火下,意味なし,none
火花,ひばな,general
火貝,意味なし,none
火学,意味なし,none
火気,かき,general
火九,意味なし,none
火休,かきゅう,general
火玉,ひだま,general
火金,かきん/火曜金曜,general
火空,意味なし,none
火月,意味なし,none
火犬,意味なし,none
火見,意味なし,none
火五,意味なし,none
火口,かこう,general
火校,意味なし,none
火左,意味なし,none
火三,意味なし,none
火山,かざん,general
火子,意味なし,none
火四,意味なし,none
火糸,意味なし,none
火字,意味なし,none
火耳,意味なし,none
火七,意味なし,none
火車,意味なし,none
火手,意味なし,none
火十,意味なし,none
火出,意味なし,none
火女,意味なし,none
火小,意味なし,none
火上,意味なし,none
火森,意味なし,none
火人,意味なし,none
火水,かすい,general
火正,意味なし,none
火生,意味なし,none
火青,意味なし,none
火夕,意味なし,none
火石,意味なし,none
火赤,意味なし,none
火千,意味なし,none
火川,意味なし,none
火先,意味なし,none
火早,意味なし,none
火草,意味なし,none
火足,意味なし,none
火村,意味なし,none
火大,意味なし,none
火男,意味なし,none
火竹,意味なし,none
火中,かちゅう,general
火虫,意味なし,none
火町,意味なし,none
火天,かてん,general
火田,かでん,general
火土,かど/火曜土曜,general
火二,意味なし,none
火日,かじつ,general
火入,ひいれ,general
火年,意味なし,none
火白,意味なし,none
火八,意味なし,none
火百,意味なし,none
火文,意味なし,none
火木,かもく/火曜木曜,general
火本,意味なし,none
火名,意味なし,none
火目,意味なし,none
火立,意味なし,none
火力,かりょく,general
火林,意味なし,none
火六,意味なし,none
花一,意味なし,none
花右,意味なし,none
花雨,かう,general
花円,意味なし,none
花王,意味なし,none
花音,意味なし,none
花下,意味なし,none
花火,はなび,general
花貝,意味なし,none
花学,意味なし,none
花気,意味なし,none
花九,意味なし,none
花休,意味なし,none
花玉,意味なし,none
花金,はなきん/花の金曜,general
花空,意味なし,none
花月,かげつ,general
花犬,意味なし,none
花見,はなみ,general
花五,意味なし,none
花口,意味なし,none
花校,意味なし,none
花左,意味なし,none
花三,意味なし,none
花山,かざん,surname
花子,意味なし,none
花四,意味なし,none
花糸,意味なし,none
花字,意味なし,none
花耳,意味なし,none
花七,意味なし,none
花車,意味なし,none
花手,意味なし,none
花十,意味なし,none
花出,意味なし,none
花女,意味なし,none
花小,意味なし,none
花上,意味なし,none
花森,意味なし,none
花人,かじん,general
花水,はなみず,general
花正,意味なし,none
花生,かせい,general
花青,意味なし,none
花夕,意味なし,none
花石,意味なし,none
花赤,意味なし,none
花千,意味なし,none
花川,はなかわ,surname
花先,意味なし,none
花早,意味なし,none
花草,かそう,general
花足,意味なし,none
花村,はなむら,surname
花大,意味なし,none
花男,意味なし,none
花竹,意味なし,none
花中,はななか,surname
花虫,意味なし,none
花町,意味なし,none
花天,かてん,general
花田,はなだ,surname
花土,意味なし,none
花二,意味なし,none
花日,意味なし,none
花入,意味なし,none
花年,意味なし,none
花白,意味なし,none
花八,意味なし,none
花百,意味なし,none
花文,かもん,general
花木,かぼく,general
花本,はなもと,surname
花名,意味なし,none
花目,意味なし,none
花立,意味なし,none
花力,意味なし,none
花林,意味なし,none
花六,意味なし,none
貝一,意味なし,none
貝右,意味なし,none
貝雨,意味なし,none
貝円,意味なし,none
貝王,意味なし,none
貝音,意味なし,none
貝下,意味なし,none
貝火,かいび,general
貝花,意味なし,none
貝学,意味なし,none
貝気,意味なし,none
貝九,意味なし,none
貝休,意味なし,none
貝玉,意味なし,none
貝金,意味なし,none
貝空,意味なし,none
貝月,意味なし,none
貝犬,意味なし,none
貝見,意味なし,none
貝五,意味なし,none
貝口,意味なし,none
貝校,意味なし,none
貝左,意味なし,none
貝三,意味なし,none
貝山,かいやま,surname
貝子,意味なし,none
貝四,意味なし,none
貝糸,意味なし,none
貝字,意味なし,none
貝耳,意味なし,none
貝七,意味なし,none
貝車,意味なし,none
貝手,意味なし,none
貝十,意味なし,none
貝出,意味なし,none
貝女,意味なし,none
貝小,意味なし,none
貝上,意味なし,none
貝森,意味なし,none
貝人,意味なし,none
貝水,意味なし,none
貝正,意味なし,none
貝生,意味なし,none
貝青,意味なし,none
貝夕,意味なし,none
貝石,意味なし,none
貝赤,意味なし,none
貝千,意味なし,none
貝川,かいかわ,surname
貝先,意味なし,none
貝早,意味なし,none
貝草,意味なし,none
貝足,意味なし,none
貝村,意味なし,none
貝大,意味なし,none
貝男,意味なし,none
貝竹,意味なし,none
貝中,意味なし,none
貝虫,意味なし,none
貝町,意味なし,none
貝天,意味なし,none
貝田,かいだ,surname
貝土,意味なし,none
貝二,意味なし,none
貝日,意味なし,none
貝入,意味なし,none
貝年,意味なし,none
貝白,意味なし,none
貝八,意味なし,none
貝百,意味なし,none
貝文,意味なし,none
貝木,意味なし,none
貝本,意味なし,none
貝名,意味なし,none
貝目,かいめ,general
貝立,意味なし,none
貝力,意味なし,none
貝林,意味なし,none
貝六,意味なし,none
学一,意味なし,none
学右,意味なし,none
学雨,意味なし,none
学円,意味なし,none
学王,意味なし,none
学音,意味なし,none
学下,意味なし,none
学火,意味なし,none
学花,意味なし,none
学貝,意味なし,none
学気,意味なし,none
学九,意味なし,none
学休,がっきゅう,general
学玉,意味なし,none
学金,意味なし,none
学空,意味なし,none
学月,意味なし,none
学犬,意味なし,none
学見,意味なし,none
学五,意味なし,none
学口,意味なし,none
学校,がっこう,general
学左,意味なし,none
学三,意味なし,none
学山,がくざん,general
学子,意味なし,none
学四,意味なし,none
学糸,意味なし,none
学字,意味なし,none
学耳,意味なし,none
学七,意味なし,none
学車,意味なし,none
学手,意味なし,none
学十,意味なし,none
学出,意味なし,none
学女,意味なし,none
学小,意味なし,none
学上,意味なし,none
学森,意味なし,none
学人,がくじん,general
学水,意味なし,none
学正,意味なし,none
学生,がくせい,general
学青,意味なし,none
学夕,意味なし,none
学石,意味なし,none
学赤,意味なし,none
学千,意味なし,none
学川,意味なし,none
学先,意味なし,none
学早,意味なし,none
学草,意味なし,none
学足,意味なし,none
学村,意味なし,none
学大,意味なし,none
学男,意味なし,none
学竹,意味なし,none
学中,意味なし,none
学虫,意味なし,none
学町,意味なし,none
学天,意味なし,none
学田,がくでん,general
学土,意味なし,none
学二,意味なし,none
学日,意味なし,none
学入,意味なし,none
学年,がくねん,general
学白,意味なし,none
学八,意味なし,none
学百,意味なし,none
学文,がくぶん,general
学木,意味なし,none
学本,意味なし,none
学名,がくめい,general
学目,意味なし,none
学立,意味なし,none
学力,がくりょく,general
学林,意味なし,none
学六,意味なし,none
気一,意味なし,none
気右,意味なし,none
気雨,意味なし,none
気円,意味なし,none
気王,意味なし,none
気音,意味なし,none
気下,意味なし,none
気火,きか,general
気花,意味なし,none
気貝,意味なし,none
気学,意味なし,none
気九,意味なし,none
気休,きやすめ,general
気玉,意味なし,none
気金,意味なし,none
気空,きくう,general
気月,意味なし,none
気犬,意味なし,none
気見,意味なし,none
気五,意味なし,none
気口,意味なし,none
気校,意味なし,none
気左,意味なし,none
気三,意味なし,none
気山,きやま,surname
気子,意味なし,none
気四,意味なし,none
気糸,意味なし,none
気字,意味なし,none
気耳,意味なし,none
気七,意味なし,none
気車,意味なし,none
気手,意味なし,none
気十,意味なし,none
気出,意味なし,none
気女,意味なし,none
気小,意味なし,none
気上,意味なし,none
気森,意味なし,none
気人,きじん,general
気水,きすい,general
気正,意味なし,none
気生,意味なし,none
気青,意味なし,none
気夕,意味なし,none
気石,意味なし,none
気赤,意味なし,none
気千,意味なし,none
気川,意味なし,none
気先,意味なし,none
気早,意味なし,none
気草,意味なし,none
気足,意味なし,none
気村,意味なし,none
気大,意味なし,none
気男,意味なし,none
気竹,意味なし,none
気中,意味なし,none
気虫,意味なし,none
気町,意味なし,none
気天,きてん,general
気田,きだ,surname
気土,きど,general
気二,意味なし,none
気日,意味なし,none
気入,意味なし,none
気年,意味なし,none
気白,意味なし,none
気八,意味なし,none
気百,意味なし,none
気文,意味なし,none
気木,意味なし,none
気本,きほん,general
気名,意味なし,none
気目,意味なし,none
気立,きだて,general
気力,きりょく,general
気林,意味なし,none
気六,意味なし,none
九一,意味なし,none
九右,意味なし,none
九雨,意味なし,none
九円,意味なし,none
九王,意味なし,none
九音,意味なし,none
九下,意味なし,none
九火,意味なし,none
九花,意味なし,none
九貝,意味なし,none
九学,意味なし,none
九気,意味なし,none
九休,意味なし,none
九玉,意味なし,none
九金,意味なし,none
九空,意味なし,none
九月,くがつ,number
九犬,意味なし,none
九見,意味なし,none
九五,意味なし,none
九口,意味なし,none
九校,意味なし,none
九左,意味なし,none
九三,意味なし,none
九山,意味なし,none
九子,意味なし,none
九四,意味なし,none
九糸,意味なし,none
九字,意味なし,none
九耳,意味なし,none
九七,意味なし,none
九車,意味なし,none
九手,意味なし,none
九十,きゅうじゅう,number
九出,意味なし,none
九女,意味なし,none
九小,意味なし,none
九上,意味なし,none
九森,意味なし,none
九人,きゅうにん,number
九水,意味なし,none
九正,意味なし,none
九生,意味なし,none
九青,意味なし,none
九夕,意味なし,none
九石,意味なし,none
九赤,意味なし,none
九千,きゅうせん,number
九川,意味なし,none
九先,意味なし,none
九早,意味なし,none
九草,意味なし,none
九足,意味なし,none
九村,意味なし,none
九大,意味なし,none
九男,意味なし,none
九竹,意味なし,none
九中,意味なし,none
九虫,意味なし,none
九町,意味なし,none
九天,意味なし,none
九田,意味なし,none
九土,意味なし,none
九二,意味なし,none
九日,ここのか,number
九入,意味なし,none
九年,意味なし,none
九白,意味なし,none
九八,意味なし,none
九百,きゅうひゃく,number
九文,意味なし,none
九木,意味なし,none
九本,意味なし,none
九名,意味なし,none
九目,意味なし,none
九立,意味なし,none
九力,意味なし,none
九林,意味なし,none
九六,意味なし,none
休一,意味なし,none
休右,意味なし,none
休雨,意味なし,none
休円,意味なし,none
休王,意味なし,none
休音,意味なし,none
休下,意味なし,none
休火,きゅうか/休火山,general
休花,意味なし,none
休貝,意味なし,none
休学,きゅうがく,general
休気,意味なし,none
休九,意味なし,none
休玉,意味なし,none
休金,意味なし,none
休空,意味なし,none
休月,意味なし,none
休犬,意味なし,none
休見,意味なし,none
休五,意味なし,none
休口,意味なし,none
休校,きゅうこう,general
休左,意味なし,none
休三,意味なし,none
休山,きゅうざん,general
休子,意味なし,none
休四,意味なし,none
休糸,意味なし,none
休字,意味なし,none
休耳,意味なし,none
休七,意味なし,none
休車,意味なし,none
休手,意味なし,none
休十,意味なし,none
休出,意味なし,none
休女,意味なし,none
休小,意味なし,none
休上,意味なし,none
休森,意味なし,none
休人,意味なし,none
休水,きゅうすい,general
休正,意味なし,none
休生,意味なし,none
休青,意味なし,none
休夕,意味なし,none
休石,意味なし,none
休赤,意味なし,none
休千,意味なし,none
休川,意味なし,none
休先,意味なし,none
休早,意味なし,none
休草,意味なし,none
休足,きゅうそく,general
休村,意味なし,none
休大,意味なし,none
休男,意味なし,none
休竹,意味なし,none
休中,意味なし,none
休虫,意味なし,none
休町,意味なし,none
休天,意味なし,none
休田,きゅうでん,general
休土,意味なし,none
休二,意味なし,none
休日,きゅうじつ,general
休入,意味なし,none
休年,意味なし,none
休白,意味なし,none
休八,意味なし,none
休百,意味なし,none
休文,意味なし,none
休木,意味なし,none
休本,意味なし,none
休名,意味なし,none
休目,意味なし,none
休立,意味なし,none
休力,意味なし,none
休林,意味なし,none
休六,意味なし,none
玉一,意味なし,none
玉右,意味なし,none
玉雨,意味なし,none
玉円,意味なし,none
玉王,意味なし,none
玉音,意味なし,none
玉下,意味なし,none
玉火,たまび,general
玉花,意味なし,none
玉貝,意味なし,none
玉学,意味なし,none
玉気,たまき,general
玉九,意味なし,none
玉休,意味なし,none
玉金,ぎょっきん,general
玉空,意味なし,none
玉月,意味なし,none
玉犬,意味なし,none
玉見,意味なし,none
玉五,意味なし,none
玉口,意味なし,none
玉校,意味なし,none
玉左,意味なし,none
玉三,意味なし,none
玉山,たまやま,surname
玉子,意味なし,none
玉四,意味なし,none
玉糸,意味なし,none
玉字,意味なし,none
玉耳,意味なし,none
玉七,意味なし,none
玉車,意味なし,none
玉手,意味なし,none
玉十,意味なし,none
玉出,意味なし,none
玉女,意味なし,none
玉小,意味なし,none
玉上,意味なし,none
玉森,意味なし,none
玉人,意味なし,none
玉水,たまみず,general
玉正,意味なし,none
玉生,意味なし,none
玉青,意味なし,none
玉夕,意味なし,none
玉石,ぎょくせき,general
玉赤,意味なし,none
玉千,意味なし,none
玉川,たまがわ,surname
玉先,意味なし,none
玉早,意味なし,none
玉草,意味なし,none
玉足,意味なし,none
玉村,たまむら,surname
玉大,意味なし,none
玉男,意味なし,none
玉竹,意味なし,none
玉中,意味なし,none
玉虫,たまむし,general
玉町,意味なし,none
玉天,意味なし,none
玉田,たまだ,surname
玉土,意味なし,none
玉二,意味なし,none
玉日,意味なし,none
玉入,たまいれ,general
玉年,意味なし,none
玉白,意味なし,none
玉八,意味なし,none
玉百,意味なし,none
玉文,ぎょくぶん,general
玉木,たまき,surname
玉本,意味なし,none
玉名,意味なし,none
玉目,たまめ,general
玉立,意味なし,none
玉力,意味なし,none
玉林,意味なし,none
玉六,意味なし,none
金一,意味なし,none
金右,意味なし,none
金雨,意味なし,none
金円,意味なし,none
金王,意味なし,none
金音,意味なし,none
金下,意味なし,none
金火,きんか,general
金花,意味なし,none
金貝,かながい,general
金学,意味なし,none
金気,かなけ,general
金九,意味なし,none
金休,意味なし,none
金玉,きんぎょく,general
金空,意味なし,none
金月,意味なし,none
金犬,意味なし,none
金見,意味なし,none
金五,意味なし,none
金口,きんこう,general
金校,意味なし,none
金左,意味なし,none
金三,意味なし,none
金山,きんざん・かなやま,general
金子,かねこ,surname
金四,意味なし,none
金糸,きんし,general
金字,きんじ,general
金耳,きんじ,general
金七,意味なし,none
金車,意味なし,none
金手,意味なし,none
金十,意味なし,none
金出,意味なし,none
金女,意味なし,none
金小,意味なし,none
金上,意味なし,none
金森,かなもり,surname
金人,意味なし,none
金水,きんすい,general
金正,意味なし,none
金生,意味なし,none
金青,意味なし,none
金夕,意味なし,none
金石,きんせき,general
金赤,きんあか,general
金千,意味なし,none
金川,かながわ,surname
金先,意味なし,none
金早,意味なし,none
金草,意味なし,none
金足,意味なし,none
金村,かなむら,surname
金大,意味なし,none
金男,意味なし,none
金竹,きんちく,general
金中,かなか,surname
金虫,意味なし,none
金町,意味なし,none
金天,意味なし,none
金田,かねだ,surname
金土,きんど/金曜土曜,general
金二,意味なし,none
金日,意味なし,none
金入,意味なし,none
金年,意味なし,none
金白,きんぱく,general
金八,意味なし,none
金百,意味なし,none
金文,きんぶん,general
金木,かなき,general
金本,かねもと,surname
金名,意味なし,none
金目,かねめ,general
金立,意味なし,none
金力,きんりょく,general
金林,かなばやし,surname
金六,意味なし,none
空一,意味なし,none
空右,意味なし,none
空雨,意味なし,none
空円,意味なし,none
空王,意味なし,none
空音,意味なし,none
空下,意味なし,none
空火,意味なし,none
